,<S>,ADJ,ADV,CONJ,DET,EZ,N,NUM,PART,POST,PREP,PRON,Unknown,V
nēzagwarīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
čarbtar,0.0,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
tarrīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
abēbīmīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,6.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
tazāgān,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
way,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,14.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
aṣ̌əm vohū,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260017,1e-04
ǰudmizagīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
dēwyazagīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
wehdilīhā,0.0,1e-04,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
gōšwār,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
zōš,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
hazār ud dōsad,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
wēw,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
nišīnē,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001
dahišnān,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,4.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
apādyāb,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
rēšag,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,5.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
nigerišnīg,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
paywāzēd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2.726
čēšān,0.0,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
dušwahāg,0.0,3.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
pihwē,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
abēšnōhr,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
tuhīgīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,5.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
sazāgīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
āgāhīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,9.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
ēgimān,0.0,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
mardōmkirbīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
purrummēd,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
dōgānagsumb,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
ʾwgwngltyhʾdʾštʾlyh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260017,1e-04
wišāddwārišnīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,5.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
yazīhēd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001
spāhbedān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,6.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
abarīh,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
būd hē,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001
kōdaktar,0.0,1e-04,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
har kas,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,23.726,1e-04,1e-04
har tis,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,6.726,1e-04,1e-04
wēnāgtar,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
zamīgān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
dušpādixšāyīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,7.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
˚nēkard,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
did,0.0,1e-04,7.726,1e-04,13.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001,1e-04,1e-04
sahist,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,16.726
škofttom,0.0,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
kālbodē,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
hazzāniš,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
spēnāgmēnōg,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
abzūd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001
ērānšahr,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,18.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
awēnāgfrazāmīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
pahikafišnīg,0.0,1e-04,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
mālišn,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
petītīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,3.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
abēniyāztar,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
hammōzād,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001
barīhist,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001
asmānīg,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
hamwārag,0.0,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
az ān ǰādag rāy,0.0,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
hupādixšā,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
ars,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
xwāyišnīhā,0.0,1e-04,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
gugārēd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,5.726
pazzāmēnīdan,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
zēndānbān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
aštād,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,6.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
tundwāzag,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
appār,0.0,4.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
frēzwānīg,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
ērānšahrīgān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
mardōmē,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
frazandiz,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
spandarmadīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
čandēnēd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001
zamīg,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,171.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
margōmandīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
hordād,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,42.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
hāwandīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
spadarmad,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
frazandīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
pahrēxtār,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
bunxān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
padist,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
axwašīhā,0.0,1e-04,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
tanāpuhl,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,9.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
frāzbarišnīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
ohrmazdxradīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
sayēd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,4.726
aγrē,0.0,4.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
gēgān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
paydāgēnīd ēstād,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001
xwarčašm,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
sāzišnīgtom,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
tā ō,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,29.726,1e-04,1e-04,1e-04
rasēnd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,24.726
xwaršēdnigerišn,0.0,1e-04,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
hunsandīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,20.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
ēbārag,0.0,1e-04,1.7260001,1e-04,1e-04,1e-04,3.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
šīrēn,0.0,4.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
īšān,0.0,1e-04,1e-04,12.726,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
sāzēnd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2.726
anayārīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
nigerīdār,0.0,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
armin,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
gardēd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001
hāwištē,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
ahlawīhā,0.0,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
asprēs,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
rōdstahm,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
pēš az ān ka,0.0,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
awindīd,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
nīrmad,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,4.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
unknown,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,12.726002,1e-04
ōsānēd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,4.726
hammōzēd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,4.726
nērōg,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,43.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
mōgē,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
awestād,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
bahrīhā,0.0,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
huniyōxš,0.0,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
burzēm,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001
šašsad,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
srōšōčaranām,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,6.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
dānē,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,3.726
zīndag,0.0,15.726,1e-04,1e-04,1e-04,1e-04,6.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
šahr,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,24.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
āwēnišnīgtar,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
anōš,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
gandum,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
ērānwēz,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,7.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
niyōxšīd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2.726
andar ō,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,26.726,1e-04,1e-04,1e-04
čāšt,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,3.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,8.726
sīh ud seyom,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
abzāyēnīdan,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
gyāgnišast,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
mehbahrīhā,0.0,1e-04,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
šēdān,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
dušxradān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
winārišn,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,4.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
frāzwiderišnīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
aštarē,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
zīwist,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001
rāyēnēd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,5.726
rōšnēnīdan,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
mehmardān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
ǰāmagān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
sritak,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
hamhandāzag,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
haft,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,40.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
wasiz,0.0,1.7260001,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
āwāragān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
xwadāy,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,64.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
nigerišn,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,5.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2.726
ēč kas,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,7.726,1e-04,1e-04
wīst panǰ,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
šēbišn,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
ašnawēnd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001
frāy,0.0,3.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
azarag,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
mardōmiz,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
tazēm,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001
spihr,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,7.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
apetyāragtar,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
kanīhēd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001
āsāntar,0.0,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
passandīd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,13.726
apahikārišn,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
fradomīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,5.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
bowandagīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,3.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
fradadafš,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
ēryamankardār,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
zōšn,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
kēm,0.0,1e-04,1e-04,5.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
frehdādār,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
ahlomōγān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
anāgkāmagīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
dušbarišn,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
abārīg,0.0,1e-04,1e-04,1e-04,77.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,10.726,1e-04,1e-04
bestadag,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
kamtar,0.0,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
ānābīhēd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2.726
